Gene	Protein	cis_trans_position_1mb_coding_region	nSamples	nCarriers	nNonCarriers	p-value	beta	lower	upper	se	model	Panel	Olink Assay	pan_p	pan_beta	Gene_chr	Gene_Start	Gene_end
FGB	FGA	cis-position, trans-gene	44766	23	44743	5.17e-33	-2.384612975	-2.774800201	-1.994425748	0.199073389	ptv	InflammationII	FGA:P02671:OID30788:v1:InflammationII	4.02118E-33	-2.386538339	4	154562980	154572763
MRC2	THBS2	trans-position, trans-gene	45260	191	45069	5.69e-33	0.850712944	0.711419146	0.990006743	0.071067669	flexdmg	Neurology	THBS2:P35442:OID21104:v1:Neurology	2.6915E-34	0.845669002	17	62626515	62693601
GNPTAB	NAGA	trans-position, trans-gene	44267	74	44193	6.03e-33	1.381550837	1.155251574	1.607850101	0.115457771	ptv	InflammationII	NAGA:P17050:OID30509:v1:InflammationII	1.22143E-32	1.30163387	12	101745497	101830867
STAB1	ADIPOQ	trans-position, trans-gene	45680	729	44951	8.05e-33	0.382766218	0.319940726	0.445591709	0.032053562	ptvraredmg	InflammationII	ADIPOQ:Q15848:OID30748:v1:InflammationII	4.27995E-36	0.376862498	3	52495338	52524495
CD46	CD46	cis-position, cis-gene	44997	44	44953	8.46e-33	-1.750890505	-2.038369012	-1.463411999	0.146671456	ptvraredmg	Cardiometabolic	CD46:P15529:OID20380:v1:Cardiometabolic	3.29424E-33	-1.677874861	1	207752054	207795513
ASGR1	TNFRSF21	trans-position, trans-gene	45644	106	45538	9.43e-33	1.123210295	0.938648003	1.307772586	0.094163667	flexdmg	Neurology	TNFRSF21:O75509:OID21052:v1:Neurology	3.96429E-35	1.139474549	17	7173431	7179564
STAB2	TNR	trans-position, trans-gene	44914	975	43939	9.45e-33	0.373253729	0.311921708	0.43458575	0.031291579	flexdmg	Neurology	TNR:Q92752:OID20957:v1:Neurology	4.11691E-36	0.369364958	12	103587273	103766719
IMPACT	IMPACT	cis-position, cis-gene	45493	107	45386	1.06e-32	-1.120498815	-1.304768667	-0.936228962	0.094014456	flexdmg	NeurologyII	IMPACT:Q9P2X3:OID31112:v1:NeurologyII	3.06079E-34	-1.083110004	18	24426634	24453531
RBP5	RBP5	cis-position, cis-gene	45042	46	44996	1.18e-32	-1.663182148	-1.936904446	-1.38945985	0.139653046	flexnonsynmtr	Oncology	RBP5:P82980:OID21369:v1:Oncology	2.40451E-29	-1.518679885	12	7115736	7128889
GNPTAB	ARSB	trans-position, trans-gene	45042	75	44967	1.56e-32	1.358920874	1.134843462	1.582998286	0.114324238	ptv	Oncology	ARSB:P15848:OID21331:v1:Oncology	1.04463E-35	1.326151254	12	101745497	101830867
LYVE1	LYVE1	cis-position, cis-gene	45680	45	45635	1.59e-32	-1.730771254	-2.016210229	-1.445332279	0.145630946	flexdmg	InflammationII	LYVE1:Q9Y5Y7:OID30728:v1:InflammationII	2.59604E-28	-1.500110961	11	10556966	10611689
DCBLD2	DCBLD2	cis-position, cis-gene	45388	294	45094	1.6e-32	-0.659702214	-0.768506731	-0.550897697	0.055512048	flexdmg	Oncology	DCBLD2:Q96PD2:OID21474:v1:Oncology	2.91628E-33	-0.639899139	3	98795941	98901695
PSMD9	PSMD9	cis-position, cis-gene	45042	54	44988	2.5e-32	-1.562328944	-1.820812266	-1.303845621	0.131878124	ptvraredmg	Oncology	PSMD9:O00233:OID21304:v1:Oncology	3.22911E-34	-1.541411563	12	121888732	121918297
IGSF8	IGSF8	cis-position, cis-gene	45276	58	45218	2.62e-32	-1.524658211	-1.776992357	-1.272324064	0.128740834	ptvraredmg	Cardiometabolic	IGSF8:Q969P0:OID20167:v1:Cardiometabolic	6.55834E-30	-1.384455529	1	160091340	160098943
CTSE	CTSE	cis-position, cis-gene	44654	426	44228	2.74e-32	-0.564293513	-0.657713942	-0.470873085	0.047663067	flexnonsynmtr	InflammationII	CTSE:P14091:OID30628:v1:InflammationII	5.45315E-34	-0.552161573	1	206008535	206023909
IQGAP2	IQGAP2	cis-position, cis-gene	45042	141	44901	2.9e-32	-0.97772009	-1.13965159	-0.815788589	0.08261741	ptv	Oncology	IQGAP2:Q13576:OID21361:v1:Oncology	1.47664E-36	-1.018509544	5	76403285	76708132
ASGR1	LIFR	trans-position, trans-gene	45190	105	45085	3.33e-32	1.138984924	0.950157738	1.32781211	0.09633959	flexdmg	Inflammation	LIFR:P42702:OID20606:v1:Inflammation	1.97124E-34	1.154522455	17	7173431	7179564
GALNT4	CD300A	trans-position, trans-gene	44654	171	44483	3.45e-32	0.882566923	0.736214307	1.028919538	0.074669049	flexdmg	InflammationII	CD300A:Q9UGN4:OID30576:v1:InflammationII	5.82764E-41	0.919360417	12	89519412	89524806
MSRA	MSRA	cis-position, cis-gene	45388	159	45229	3.52e-32	-0.927477011	-1.081299919	-0.773654102	0.078480424	flexdmg	Oncology	MSRA:Q9UJ68:OID21513:v1:Oncology	4.43386E-37	-0.956498301	8	10054292	10428891
C1QTNF1	C1QTNF1	cis-position, cis-gene	45432	125	45307	3.92e-32	-1.037227787	-1.209387932	-0.865067641	0.087836082	flexdmg	Cardiometabolic	C1QTNF1:Q9BXJ1:OID20367:v1:Cardiometabolic	4.89328E-32	-1.001775298	17	79022814	79049788
IGF2R	CTSO	trans-position, trans-gene	45752	216	45536	4.26e-32	0.789095628	0.658043327	0.92014793	0.066862878	ptvraredmg	Inflammation	CTSO:P43234:OID20660:v1:Inflammation	1.72963E-33	0.76709647	6	159969082	160113507
FOLR2	FOLR2	cis-position, cis-gene	45644	98	45546	4.57e-32	-1.137588966	-1.326612415	-0.948565517	0.096439749	flexdmg	Neurology	FOLR2:P14207:OID21062:v1:Neurology	2.03497E-44	-1.240054421	11	72216601	72221950
POC1B-GALNT4	CD300A	trans-position, trans-gene	44654	174	44480	4.69e-32	0.873052496	0.727959343	1.018145649	0.074026472	flexdmg	InflammationII	CD300A:Q9UGN4:OID30576:v1:InflammationII	8.21591E-41	0.910971539	12	89519412	89526262
HAGH	HAGH	cis-position, cis-gene	45488	320	45168	5.13e-32	-0.628975861	-0.733575018	-0.524376704	0.053366477	flexdmg	Oncology	HAGH:Q16775:OID21459:v1:Oncology	1.7437E-31	-0.590769864	16	1795620	1827157
AP1G2	AP1G2	cis-position, cis-gene	45424	267	45157	5.78e-32	-0.70790702	-0.825732267	-0.590081773	0.060114424	flexdmg	OncologyII	AP1G2:O75843:OID31348:v1:OncologyII	3.37727E-34	-0.685974407	14	23559565	23568070
CAPN2	YAP1	trans-position, trans-gene	45493	406	45087	6.59e-32	-0.524891097	-0.612337651	-0.437444543	0.044615221	flexdmg	NeurologyII	YAP1:P46937:OID31113:v1:NeurologyII	2.83406E-31	-0.489409876	1	223701593	223776018
AHSP	AHSP	cis-position, cis-gene	45183	62	45121	6.88e-32	-1.394163881	-1.62650115	-1.161826611	0.118538424	flexdmg	Neurology	AHSP:Q9NZD4:OID21078:v1:Neurology	7.38268E-33	-1.368115715	16	31527900	31528803
DSG3	DSG3	cis-position, cis-gene	45471	199	45272	7.06e-32	-0.781853738	-0.912175113	-0.651532364	0.066489948	flexdmg	Oncology	DSG3:P32926:OID21460:v1:Oncology	1.00147E-29	-0.723177741	18	31447741	31478702
SMPD1	SMPD1	cis-position, cis-gene	45420	302	45118	7.98e-32	-0.665078582	-0.776033459	-0.554123705	0.056609162	ptvraredmg	Neurology	SMPD1:P17405:OID21028:v1:Neurology	2.33997E-33	-0.635209669	11	6390440	6394998
STAB1	PHYKPL	trans-position, trans-gene	44654	714	43940	8.49e-32	0.435965447	0.363202364	0.50872853	0.037123697	ptvraredmg	InflammationII	PHYKPL:Q8IUZ5:OID30634:v1:InflammationII	1.22392E-37	0.444489799	3	52495338	52524495
HYOU1	HYOU1	cis-position, cis-gene	45810	125	45685	1.14e-31	-1.026817567	-1.198565484	-0.855069649	0.087625782	flexdmg	Cardiometabolic	HYOU1:Q9Y4L1:OID20300:v1:Cardiometabolic	3.89227E-33	-1.013853623	11	119044188	119057227
ASGR1	ADGRE1	trans-position, trans-gene	45423	104	45319	1.56e-31	1.127190029	0.938225411	1.316154647	0.096409721	flexdmg	OncologyII	ADGRE1:Q14246:OID31483:v1:OncologyII	1.42198E-32	1.123298761	17	7173431	7179564
TSHR	TSHB	trans-position, trans-gene	45276	318	44958	1.59e-31	0.655093276	0.545256784	0.764929768	0.056038558	flexdmg	Cardiometabolic	TSHB:P01222:OID20129:v1:Cardiometabolic	2.78038E-31	0.628037541	14	80954989	81146302
B4GALNT3	PTPRZ1	trans-position, trans-gene	45616	338	45278	2.19e-31	0.575078999	0.47843105	0.671726949	0.049309776	flexdmg	CardiometabolicII	PTPRZ1:P23471:OID30343:v1:CardiometabolicII	1.09186E-31	0.548846653	12	460377	561892
CCS	CCS	cis-position, cis-gene	44914	152	44762	2.51e-31	-0.914882762	-1.068787078	-0.760978446	0.078521936	flexdmg	Neurology	CCS:O14618:OID20973:v1:Neurology	2.67068E-33	-0.899525555	11	66593153	66606019
CR1	CR1	cis-position, cis-gene	45513	517	44996	3.23e-31	-0.505320472	-0.590486827	-0.420154117	0.043451864	flexdmg	InflammationII	CR1:P17927:OID30697:v1:InflammationII	7.88384E-31	-0.48959175	1	207496147	207641765
LIFR	LIFR	cis-position, cis-gene	45190	420	44770	3.72e-31	0.561494301	0.466763494	0.656225108	0.048331637	flexnonsynmtr	Inflammation	LIFR:P42702:OID20606:v1:Inflammation	7.45983E-28	0.507646722	5	38474668	38608354
SIGLEC9	SIGLEC9	cis-position, cis-gene	45556	79	45477	3.83e-31	-1.26178558	-1.474712181	-1.048858979	0.108635129	flexdmg	Oncology	SIGLEC9:Q9Y336:OID21390:v1:Oncology	1.67264E-28	-1.198769151	19	51124906	51136651
FHIT	FHIT	cis-position, cis-gene	44217	93	44124	4.48e-31	-1.188185198	-1.38891839	-0.987452006	0.102413971	flexdmg	Neurology	FHIT:P49789:OID20872:v1:Neurology	3.75726E-34	-1.148426744	3	59747277	61251459
SHMT1	SHMT1	cis-position, cis-gene	45378	146	45232	4.52e-31	-0.94943971	-1.10985366	-0.78902576	0.081843172	ptvraredmg	Inflammation	SHMT1:P34896:OID20714:v1:Inflammation	5.92028E-35	-0.951471756	17	18327860	18363563
EPOR	EPO	trans-position, trans-gene	45190	169	45021	4.74e-31	0.885187692	0.735576501	1.034798883	0.076331598	flexdmg	Inflammation	EPO:P01588:OID20522:v1:Inflammation	2.87646E-31	0.851377114	19	11377205	11384342
PGLYRP2	PGLYRP2	cis-position, cis-gene	45172	40	45132	4.98e-31	-1.827899266	-2.136955689	-1.518842844	0.157680519	ptvraredmg	InflammationII	PGLYRP2:Q96PD5:OID30742:v1:InflammationII	1.12691E-36	-1.900755666	19	15468645	15498956
ADGRE5	ADGRE5	cis-position, cis-gene	45596	23	45573	5.62e-31	-2.314312065	-2.705962744	-1.922661385	0.19982014	ptv	Cardiometabolic	ADGRE5:P48960:OID20260:v1:Cardiometabolic	1.2319E-30	-2.312053343	19	14380501	14408725
PRTG	PRTG	cis-position, cis-gene	45621	203	45418	6.26e-31	-0.801156996	-0.936845121	-0.665468871	0.06922807	ptvraredmg	Oncology	PRTG:Q2VWP7:OID21443:v1:Oncology	4.63045E-29	-0.729714914	15	55611544	55743152
TACSTD2	TACSTD2	cis-position, cis-gene	40049	66	39983	7.38e-31	-1.410240508	-1.649355484	-1.171125531	0.12199599	ptvraredmg	Oncology	TACSTD2:P09758:OID21447:v1:Oncology	1.90059E-31	-1.337355958	1	58575433	58577252
ROBO1	ROBO1	cis-position, cis-gene	45300	19	45281	8.38e-31	-2.595041155	-3.035506599	-2.154575711	0.22472539	ptv	Inflammation	ROBO1:Q9Y6N7:OID20734:v1:Inflammation	7.16656E-31	-2.597311725	3	78597239	79767998
FGFBP2	FGFBP2	cis-position, cis-gene	45606	19	45587	9.11e-31	-2.609834374	-3.053087371	-2.166581376	0.22614764	ptvraredmg	CardiometabolicII	FGFBP2:Q9BYJ0:OID30395:v1:CardiometabolicII	2.48734E-33	-2.589627533	4	15960245	15969309
GNPTAB	RNASET2	trans-position, trans-gene	45592	76	45516	1.01e-30	1.276463997	1.059501216	1.493426778	0.110694391	ptv	Cardiometabolic	RNASET2:O00584:OID20321:v1:Cardiometabolic	2.26058E-31	1.201767343	12	101745497	101830867
TREM2	TREM2	cis-position, cis-gene	45225	46	45179	1.04e-30	-1.566588975	-1.83292967	-1.30024828	0.135886968	flexdmg	Inflammation	TREM2:Q9NZC2:OID20731:v1:Inflammation	3.70006E-30	-1.454254489	6	41158506	41163186
ENTPD5	ENTPD5	cis-position, cis-gene	44454	78	44376	1.12e-30	-1.279445177	-1.497076162	-1.061814192	0.111035232	flexdmg	Cardiometabolic	ENTPD5:O75356:OID20104:v1:Cardiometabolic	4.06546E-32	-1.290614451	14	73958010	74019399
GNPTAB	LGMN	trans-position, trans-gene	45452	77	45375	1.28e-30	1.308021838	1.085306162	1.530737513	0.113629507	ptv	Inflammation	LGMN:Q99538:OID20773:v1:Inflammation	1.16719E-30	1.214638829	12	101745497	101830867
SLC10A2	EPCAM	trans-position, trans-gene	45224	200	45024	1.38e-30	-0.803500062	-0.940391071	-0.666609052	0.069841765	flexdmg	Inflammation	EPCAM:P16422:OID20743:v1:Inflammation	1.35488E-31	-0.779666521	13	103043998	103066846
CCL25	CCL25	cis-position, cis-gene	45752	20	45732	1.43e-30	-2.480522404	-2.903230759	-2.05781405	0.215665783	ptv	Inflammation	CCL25:O15444:OID20674:v1:Inflammation	9.29815E-28	-2.301244876	19	8052318	8062660
ASGR1	LILRB1	trans-position, trans-gene	45810	106	45704	1.46e-30	1.083677339	0.898975048	1.26837963	0.094235103	flexdmg	Cardiometabolic	LILRB1:Q8NHL6:OID20323:v1:Cardiometabolic	3.91602E-30	1.057805699	17	7173431	7179564
CNTN1	CNTN1	cis-position, cis-gene	45810	167	45643	1.52e-30	-0.822169633	-0.962344259	-0.681995006	0.07151709	flexdmg	Cardiometabolic	CNTN1:Q12860:OID20307:v1:Cardiometabolic	3.40362E-31	-0.798968804	12	40692439	41072415
IGF2R	IGF2R	cis-position, cis-gene	45260	21	45239	1.56e-30	-2.445677945	-2.862733646	-2.028622243	0.212781738	ptv	Neurology	IGF2R:P11717:OID21146:v1:Neurology	1.71809E-30	-2.443891509	6	159969082	160113507
APOA4	APOA4	cis-position, cis-gene	45680	25	45655	1.93e-30	-2.24184916	-2.624761901	-1.858936418	0.195362055	ptv	InflammationII	APOA4:P06727:OID30733:v1:InflammationII	3.48981E-34	-2.213354751	11	116820700	116823304
PAXX	PAXX	cis-position, cis-gene	44654	22	44632	1.94e-30	-2.386028695	-2.793568572	-1.978488819	0.207926691	ptv	InflammationII	PAXX:Q9BUH6:OID30591:v1:InflammationII	2.22128E-32	-2.363108374	9	136992422	136993984
NBL1	NBL1	cis-position, cis-gene	45388	35	45353	2.24e-30	-1.871676683	-2.191719315	-1.55163405	0.163285702	flexdmg	Oncology	NBL1:P41271:OID21486:v1:Oncology	1.21438E-28	-1.763212226	1	19596979	19658456
ASGR1	ITGB1	trans-position, trans-gene	45214	103	45111	2.31e-30	1.076899693	0.892712712	1.261086673	0.093972159	flexdmg	Cardiometabolic	ITGB1:P05556:OID20376:v1:Cardiometabolic	1.69381E-31	1.074057847	17	7173431	7179564
JAM2	JAM2	cis-position, cis-gene	45644	47	45597	2.66e-30	-1.580133213	-1.850678465	-1.309587962	0.138032166	ptvraredmg	Neurology	JAM2:P57087:OID21064:v1:Neurology	8.47246E-34	-1.624251383	21	25639258	25717562
CLEC11A	CLEC11A	cis-position, cis-gene	45188	68	45120	3.07e-30	-1.364309727	-1.598155145	-1.130464308	0.119307882	flexdmg	Neurology	CLEC11A:Q9Y240:OID21112:v1:Neurology	4.62932E-31	-1.358505484	19	50723364	50725708
ITPA	ITPA	cis-position, cis-gene	44108	76	44032	3.68e-30	-1.289713058	-1.511074523	-1.068351592	0.112938498	flexdmg	CardiometabolicII	ITPA:Q9BY32:OID30082:v1:CardiometabolicII	2.1778E-32	-1.291665783	20	3208868	3223870
HNMT	HNMT	cis-position, cis-gene	44701	61	44640	3.69e-30	-1.410165059	-1.652205622	-1.168124495	0.123489007	flexdmg	Neurology	HNMT:P50135:OID20975:v1:Neurology	2.63767E-30	-1.386516416	2	137964020	138016364
ASGR1	PLTP	trans-position, trans-gene	45667	106	45561	4.52e-30	1.077774701	0.892494725	1.263054677	0.09452983	ptvraredmg	Cardiometabolic	PLTP:P55058:OID20238:v1:Cardiometabolic	1.3249E-29	1.04529383	17	7173431	7179564
SIGLEC1	PKD1	trans-position, trans-gene	45616	500	45116	5.53e-30	0.469173021	0.388392102	0.54995394	0.041214418	flexdmg	CardiometabolicII	PKD1:P98161:OID30328:v1:CardiometabolicII	8.51586E-32	0.466443523	20	3686970	3712600
BGLAP	BGLAP	cis-position, cis-gene	45606	22	45584	6.35e-30	-2.295423381	-2.691060487	-1.899786274	0.201854016	ptv	CardiometabolicII	BGLAP:P02818:OID30389:v1:CardiometabolicII	1.3E-28	-2.17801183	1	156242184	156243317
TINAGL1	TINAGL1	cis-position, cis-gene	45132	152	44980	6.73e-30	-0.886501271	-1.039365231	-0.733637311	0.077991157	flexnonsynmtr	Cardiometabolic	TINAGL1:Q9GZM7:OID20180:v1:Cardiometabolic	7.18669E-33	-0.904429405	1	31576485	31587686
STAB1	EGFLAM	trans-position, trans-gene	45423	1237	44186	7.05e-30	0.323513781	0.2677086	0.379318961	0.028471795	flexdmg	OncologyII	EGFLAM:Q63HQ2:OID31496:v1:OncologyII	2.24065E-33	0.327490276	3	52495338	52524495
ASGR1	IL7R	trans-position, trans-gene	45260	103	45157	7.43e-30	1.112646241	0.920639506	1.304652976	0.097961799	flexdmg	Neurology	IL7R:P16871:OID21136:v1:Neurology	8.48239E-31	1.100702749	17	7173431	7179564
FLG	PSAPL1	trans-position, trans-gene	45423	559	44864	7.79e-30	0.47067196	0.389419253	0.551924667	0.041455119	ptv	OncologyII	PSAPL1:Q6NUJ1:OID31473:v1:OncologyII	9.92811E-34	0.476672006	1	152302163	152325257
NXPH3	NXPH3	cis-position, cis-gene	44339	79	44260	1.03e-29	-1.242449644	-1.457395208	-1.02750408	0.109665124	flexdmg	InflammationII	NXPH3:O95157:OID30565:v1:InflammationII	2.14684E-30	-1.234772506	17	49575871	49583827
HAVCR2	HAVCR2	cis-position, cis-gene	45260	95	45165	1.05e-29	-1.119972481	-1.313756092	-0.92618887	0.098868361	flexnonsynmtr	Neurology	HAVCR2:Q8TDQ0:OID21137:v1:Neurology	3.70532E-35	-1.174916854	5	157085832	157142869
CYTL1	CYTL1	cis-position, cis-gene	45606	65	45541	1.2e-29	-1.336820349	-1.568373044	-1.105267654	0.118138164	flexnonsynmtr	CardiometabolicII	CYTL1:Q9NRR1:OID30374:v1:CardiometabolicII	1.6123E-32	-1.271289247	4	5014586	5019458
LRPAP1	LRPAP1	cis-position, cis-gene	45644	166	45478	1.29e-29	0.857569168	0.708941738	1.006196599	0.075829703	flexdmg	Neurology	LRPAP1:P30533:OID21059:v1:Neurology	8.52691E-32	0.848861974	4	3503612	3532446
NPC1	SIGLEC8	trans-position, trans-gene	44457	631	43826	1.86e-29	0.434401655	0.358901498	0.509901812	0.038520147	flexdmg	CardiometabolicII	SIGLEC8:Q9NYZ4:OID30261:v1:CardiometabolicII	3.97425E-27	0.395286111	18	23506184	23586617
SLC10A2	GPA33	trans-position, trans-gene	45042	194	44848	2.78e-29	-0.799154621	-0.93848597	-0.659823273	0.071086818	flexdmg	Oncology	GPA33:Q99795:OID21376:v1:Oncology	2.18397E-30	-0.774616307	13	103043998	103066846
ADGRE5	ADGRE2	cis-position, trans-gene	45452	23	45429	3.09e-29	-2.247395821	-2.639562195	-1.855229446	0.200083231	ptv	Inflammation	ADGRE2:Q9UHX3:OID20755:v1:Inflammation	5.41779E-29	-2.245359327	19	14380501	14408725
COL18A1	COL4A1	trans-position, trans-gene	45276	117	45159	3.23e-29	1.021581507	0.843257323	1.199905691	0.090980965	ptv	Cardiometabolic	COL4A1:P02462:OID20208:v1:Cardiometabolic	4.68256E-32	1.035667371	21	45405165	45513720
MATN3	MATN3	cis-position, cis-gene	44838	25	44813	3.31e-29	-2.164179588	-2.542026466	-1.78633271	0.192777356	ptv	Neurology	MATN3:O15232:OID20979:v1:Neurology	1.43018E-35	-2.240101252	2	19992052	20012668
CA1	CA1	cis-position, cis-gene	44240	101	44139	3.82e-29	-1.074434371	-1.262232541	-0.886636201	0.095814531	flexdmg	Cardiometabolic	CA1:P00915:OID20409:v1:Cardiometabolic	2.77042E-30	-1.06836333	8	85327608	85379014
ASGR1	ISLR2	trans-position, trans-gene	43588	102	43486	3.95e-29	1.102511757	0.909758723	1.295264791	0.09834246	flexdmg	Neurology	ISLR2:Q6UXK2:OID20889:v1:Neurology	4.77238E-30	1.094474423	17	7173431	7179564
CLU	CLU	cis-position, cis-gene	45680	51	45629	4.64e-29	-1.5255403	-1.792600363	-1.258480237	0.136254026	flexdmg	InflammationII	CLU:P10909:OID30732:v1:InflammationII	2.0098E-34	-1.575115166	8	27596917	27614700
TREH	TREH	cis-position, cis-gene	45606	176	45430	5.43e-29	-0.838386242	-0.985337198	-0.691435287	0.074974364	rec	CardiometabolicII	TREH:O43280:OID30388:v1:CardiometabolicII	1.9073E-29	-0.827916961	11	118657316	118679690
ASGR1	MARCO	trans-position, trans-gene	45276	106	45170	5.55e-29	1.051941825	0.867528961	1.236354689	0.094087408	ptvraredmg	Cardiometabolic	MARCO:Q9UEW3:OID20210:v1:Cardiometabolic	2.37368E-30	1.059482099	17	7173431	7179564
ASGR1	LY75	trans-position, trans-gene	45190	105	45085	6.18e-29	1.076815234	0.887879404	1.265751064	0.09639502	flexdmg	Inflammation	LY75:O60449:OID20580:v1:Inflammation	8.22738E-30	1.061893164	17	7173431	7179564
CD300E	CD300E	cis-position, cis-gene	45475	42	45433	6.36e-29	-1.647094179	-1.936157748	-1.358030611	0.147480195	flexdmg	Oncology	CD300E:Q496F6:OID21418:v1:Oncology	1.92161E-31	-1.667030952	17	74609885	74623738
HEPACAM2	HEPACAM2	cis-position, cis-gene	45493	193	45300	8.1e-29	-0.796807009	-0.936915621	-0.656698397	0.071483396	flexnonsynmtr	NeurologyII	HEPACAM2:A8MVW5:OID31151:v1:NeurologyII	2.42032E-31	-0.807813018	7	93188534	93226469
STAB1	SORT1	trans-position, trans-gene	45201	1232	43969	8.14e-29	0.316031933	0.260459192	0.371604674	0.028353201	flexdmg	Cardiometabolic	SORT1:Q99523:OID20213:v1:Cardiometabolic	4.9287E-32	0.320646126	3	52495338	52524495
RNASE4	RNASE4	cis-position, cis-gene	44308	37	44271	8.28e-29	-1.740622698	-2.04674021	-1.434505186	0.156181006	flexdmg	InflammationII	RNASE4:P34096:OID30705:v1:InflammationII	2.06803E-28	-1.639807082	14	20684560	20701216
LHPP	LHPP	cis-position, cis-gene	45308	49	45259	8.57e-29	-1.533185874	-1.802900504	-1.263471245	0.137608356	flexdmg	Inflammation	LHPP:Q9H008:OID20749:v1:Inflammation	1.29606E-33	-1.485077632	10	124461823	124617888
STAB2	DCTPP1	trans-position, trans-gene	45276	978	44298	1.21e-28	0.343833899	0.283180582	0.404487216	0.030945311	flexdmg	Cardiometabolic	DCTPP1:Q9H773:OID20148:v1:Cardiometabolic	7.4595E-33	0.348928524	12	103587273	103766719
ASGR1	CD22	trans-position, trans-gene	45752	106	45646	1.22e-28	1.041334932	0.857627585	1.225042279	0.09372748	flexdmg	Inflammation	CD22:P20273:OID20637:v1:Inflammation	3.96969E-30	1.047321213	17	7173431	7179564
ACE2	ACE2	cis-position, cis-gene	44454	172	44282	1.36e-28	-0.752704526	-0.885610355	-0.619798697	0.067808495	flexdmg	Cardiometabolic	ACE2:Q9BYF1:OID20105:v1:Cardiometabolic	6.04149E-30	-0.758260049	X	15494566	15607236
FUT1	TEK	trans-position, trans-gene	45388	209	45179	1.61e-28	0.758547067	0.624428723	0.892665412	0.068427158	flexdmg	Oncology	TEK:Q02763:OID21496:v1:Oncology	3.0479E-31	0.76986452	19	48748011	48755390
EDA2R	EDA2R	cis-position, cis-gene	45621	102	45519	1.64e-28	-0.848470441	-0.998516993	-0.698423888	0.076553738	flexnonsynmtr	Oncology	EDA2R:Q9HAV5:OID21451:v1:Oncology	1.50068E-34	-0.860829225	X	66595637	66639298
CTSO	CTSO	cis-position, cis-gene	45752	47	45705	2.01e-28	-1.583376934	-1.863844423	-1.302909446	0.1430945	ptvraredmg	Inflammation	CTSO:P43234:OID20660:v1:Inflammation	2.39776E-35	-1.585966004	4	155921580	155953912
NLRC4	IL18	trans-position, trans-gene	45078	93	44985	2.6e-28	-1.098328787	-1.293283256	-0.903374318	0.099465722	ptv	Inflammation	IL18:Q14116:OID20694:v1:Inflammation	4.3607E-31	-1.138829573	2	32224449	32265743
STAB2	COL5A1	trans-position, trans-gene	44654	961	43693	2.73e-28	0.352918782	0.290250066	0.415587499	0.031973556	flexdmg	InflammationII	COL5A1:P20908:OID30587:v1:InflammationII	1.04001E-30	0.347499723	12	103587273	103766719
SEZ6L2	SEZ6L2	cis-position, cis-gene	45042	98	44944	2.88e-28	-1.006955877	-1.185841066	-0.828070688	0.091267177	ptvraredmg	Oncology	SEZ6L2:Q6UXD5:OID21289:v1:Oncology	2.43565E-30	-0.998617956	16	29871159	29899550
STAB2	ISM1	trans-position, trans-gene	45190	974	44216	3.26e-28	0.345722686	0.284241693	0.407203679	0.031367589	flexdmg	Inflammation	ISM1:B1AKI9:OID20538:v1:Inflammation	1.88208E-28	0.326474208	12	103587273	103766719
GPLD1	CPM	trans-position, trans-gene	45414	277	45137	3.81e-28	-0.623660407	-0.734709071	-0.512611743	0.056657012	flexdmg	Neurology	CPM:P14384:OID21054:v1:Neurology	2.71889E-31	-0.609526839	6	24425832	24495043
VEGFB	VEGFB	cis-position, cis-gene	44339	17	44322	3.97e-28	-2.61034529	-3.075288662	-2.145401918	0.237213887	ptv	InflammationII	VEGFB:P49765:OID30554:v1:InflammationII	3.00528E-30	-2.573733359	11	64234584	64239264
ASGR1	CD300C	trans-position, trans-gene	45644	106	45538	4.06e-28	1.024890382	0.842303126	1.207477637	0.093156003	flexdmg	Neurology	CD300C:Q08708:OID21010:v1:Neurology	1.61891E-29	1.038765327	17	7173431	7179564
IL1RL2	IL1RL2	cis-position, cis-gene	44437	73	44364	4.17e-28	-1.222831277	-1.440727407	-1.004935148	0.111170508	ptvraredmg	Inflammation	IL1RL2:Q9HB29:OID20487:v1:Inflammation	2.94041E-37	-1.256017058	2	102187006	102240002
ADAM9	ADAM9	cis-position, cis-gene	45423	91	45332	4.68e-28	-1.120965031	-1.320900265	-0.921029798	0.102006927	flexdmg	OncologyII	ADAM9:Q13443:OID31488:v1:OncologyII	6.60784E-27	-1.041920771	8	38996754	39105445
STAB1	KCTD5	trans-position, trans-gene	44675	1209	43466	4.89e-28	0.31207709	0.256395183	0.367758997	0.028408888	flexdmg	NeurologyII	KCTD5:Q9NXV2:OID31148:v1:NeurologyII	4.53094E-33	0.324848856	3	52495338	52524495
FCAMR	FCAMR	cis-position, cis-gene	45616	95	45521	6.09e-28	-1.08304136	-1.276634999	-0.889447721	0.098771458	flexdmg	CardiometabolicII	FCAMR:Q8WWV6:OID30332:v1:CardiometabolicII	4.11164E-30	-1.057987189	1	206957965	206970625
TIMD4	TIMD4	cis-position, cis-gene	45433	56	45377	6.85e-28	-1.436154718	-1.693114524	-1.179194912	0.131100857	ptvraredmg	Cardiometabolic	TIMD4:Q96H15:OID20375:v1:Cardiometabolic	2.04253E-41	-1.623323838	5	156919292	156963226
